# x l P_ref P_forward P_backward_exp abs_err_forward rel_err_forward abs_err_backward rel_err_backward
0.10000000000000001 0 1.00000000000000000e+00 1.00000000000000000e+00 1.00000000000000000e+00 0.00000000000000000e+00 0.00000000000000000e+00 0.00000000000000000e+00 0.00000000000000000e+00
0.10000000000000001 1 1.00000000000000006e-01 1.00000000000000006e-01 2.58436372806508441e+00 0.00000000000000000e+00 0.00000000000000000e+00 2.48436372806508432e+00 2.48436372806508423e+01
0.10000000000000001 2 -4.84999999999999987e-01 -4.84999999999999987e-01 -1.12345440790237255e-01 0.00000000000000000e+00 0.00000000000000000e+00 3.72654559209762759e-01 7.68359915896418055e-01
0.10000000000000001 3 -1.47500000000000020e-01 -1.47499999999999992e-01 -1.74163339217509572e+00 2.77555756156289135e-17 1.88173394004263787e-16 1.59413339217509575e+00 1.08076840147464104e+01
0.10000000000000001 4 3.37937500000000002e-01 3.37937500000000002e-01 -2.20526763037963841e-01 0.00000000000000000e+00 0.00000000000000000e+00 5.58464263037963815e-01 1.65256671141250622e+00
0.10000000000000001 5 1.78828750000000009e-01 1.78828750000000009e-01 1.35361189639324331e+00 0.00000000000000000e+00 0.00000000000000000e+00 1.17478314639324322e+00 6.56931923079059210e+00
0.10000000000000001 6 -2.48829312499999983e-01 -2.48829312499999983e-01 4.31934483537064484e-01 0.00000000000000000e+00 0.00000000000000000e+00 6.80763796037064495e-01 2.73586656329753986e+00
0.10000000000000001 7 -1.99492943750000012e-01 -1.99492943750000012e-01 -1.08002236425161069e+00 0.00000000000000000e+00 0.00000000000000000e+00 8.80529420501610649e-01 4.41383742176399974e+00
0.10000000000000001 8 1.80320721484375002e-01 1.80320721484374974e-01 -5.80446866392108518e-01 2.77555756156289135e-17 1.53923383775025357e-16 7.60767587876483464e-01 4.21896929878025606e+00
0.10000000000000001 9 2.11387641835937501e-01 2.11387641835937501e-01 8.50379915682922483e-01 0.00000000000000000e+00 0.00000000000000000e+00 6.38992273846984982e-01 3.02284593506615984e+00
0.10000000000000001 10 -1.22124997387109357e-01 -1.22124997387109330e-01 6.83974363732652968e-01 2.77555756156289135e-17 2.27271862513534785e-16 8.06099361119762325e-01 6.60060903473025107e+00
0.10000000000000001 11 -2.15485355715664073e-01 -2.15485355715664073e-01 -6.42495726635513797e-01 0.00000000000000000e+00 0.00000000000000000e+00 4.27010370919849724e-01 1.98162130090777877e+00
0.10000000000000001 12 7.06465544260146266e-02 7.06465544260145989e-02 -7.50121514360072017e-01 2.77555756156289135e-17 3.92879395762977242e-16 8.20768068786086658e-01 1.16179490345229066e+01
0.10000000000000001 13 2.12495434973308112e-01 2.12495434973308112e-01 4.48818841055845075e-01 0.00000000000000000e+00 0.00000000000000000e+00 2.36323406082536963e-01 1.11213403766637109e+00
0.10000000000000001 14 -2.46191095078755924e-02 -2.46191095078755647e-02 7.83099325537979896e-01 2.77555756156289135e-17 1.12739965703267919e-15 8.07718435045855498e-01 3.28085967036081598e+01
0.10000000000000001 15 -2.03088767146610172e-01 -2.03088767146610200e-01 -2.67498382048112604e-01 2.77555756156289135e-17 1.36667212104311555e-16 6.44096149015024322e-02 3.17150061061747479e-01
0.10000000000000001 16 -1.62680334710223577e-02 -1.62680334710223820e-02 -7.85983429213677920e-01 2.42861286636752993e-17 1.49287427438204360e-15 7.69715395742655573e-01 4.73145938083863058e+01
0.10000000000000001 17 1.87984456699493485e-01 1.87984456699493485e-01 9.91899291979214670e-02 0.00000000000000000e+00 0.00000000000000000e+00 8.87945275015720181e-02 4.72350369070759835e-01
0.10000000000000001 18 5.19167870808670689e-02 5.19167870808670967e-02 7.61604613823625098e-01 2.77555756156289135e-17 5.34616588896305122e-16 7.09687826742757988e-01 1.36697177665738057e+01
0.10000000000000001 19 -1.67980426757456558e-01 -1.67980426757456558e-01 5.43430708202540316e-02 0.00000000000000000e+00 0.00000000000000000e+00 2.22323497577710583e-01 1.32350835075993012e+00
0.10000000000000001 20 -8.20771309445277458e-02 -8.20771309445277736e-02 -7.12927484322494309e-01 2.77555756156289135e-17 3.38164544693791291e-16 6.30850353377966577e-01 7.68606731397970133e+00
0.10000000000000001 21 1.43956776108407958e-01 1.43956776108407958e-01 -1.90945909625109905e-01 0.00000000000000000e+00 0.00000000000000000e+00 3.34902685733517891e-01 2.32641140477691977e+00
0.10000000000000001 22 1.06483358504601680e-01 1.06483358504601680e-01 6.43200443608382244e-01 0.00000000000000000e+00 0.00000000000000000e+00 5.36717085103780578e-01 5.04038464452251755e+00
0.10000000000000001 23 -1.16864085265837719e-01 -1.16864085265837719e-01 3.08487478608266918e-01 0.00000000000000000e+00 0.00000000000000000e+00 4.25351563874104666e-01 3.63971157525883182e+00
0.10000000000000001 24 -1.24932435264803160e-01 -1.24932435264803174e-01 -5.55988293897247354e-01 1.38777878078144568e-17 1.11082344456021384e-16 4.31055858632444222e-01 3.45031182429759520e+00
0.10000000000000001 25 8.77027645433027941e-02 8.77027645433027941e-02 -4.05121685067796777e-01 0.00000000000000000e+00 0.00000000000000000e+00 4.92824449611099558e-01 5.61925786692584772e+00
0.10000000000000001 26 1.37330576184266279e-01 1.37330576184266279e-01 4.55137952060977791e-01 0.00000000000000000e+00 0.00000000000000000e+00 3.17807375876711484e-01 2.31417783793673548e+00
0.10000000000000001 27 -5.74970305314541213e-02 -5.74970305314541283e-02 4.79459072506885076e-01 6.93889390390722838e-18 1.20682648125823854e-16 5.36956103038339183e-01 9.33884929491435045e+00
0.10000000000000001 28 -1.43719972317792405e-01 -1.43719972317792405e-01 -3.44703564530661866e-01 0.00000000000000000e+00 0.00000000000000000e+00 2.00983592212869461e-01 1.39843884584430778e+00
0.10000000000000001 29 2.72659659541137460e-02 2.72659659541137564e-02 -5.30678080966122567e-01 1.04083408558608426e-17 3.81733802256526560e-16 5.57944046920236358e-01 2.04630214773688124e+01
0.10000000000000001 30 1.44291613211508352e-01 1.44291613211508352e-01 2.28846756456302397e-01 0.00000000000000000e+00 0.00000000000000000e+00 8.45551432447940454e-02 5.86001787372421812e-01
0.10000000000000001 31 2.00644716021899060e-03 2.00644716021897672e-03 5.58590569140874793e-01 1.38777878078144568e-17 6.91659769714532936e-15 5.56584121980655766e-01 2.77397846808937743e+02
0.10000000000000001 32 -1.39387481013980602e-01 -1.39387481013980602e-01 -1.11722777017433217e-01 0.00000000000000000e+00 0.00000000000000000e+00 2.76647039965473851e-02 1.98473376484740449e-01
0.10000000000000001 33 -2.94007556278145961e-02 -2.94007556278145787e-02 -5.63669583730948665e-01 1.73472347597680709e-17 5.90026833982345395e-16 5.34268828103134030e-01 1.81719420706891235e+01
0.10000000000000001 34 1.29494170904558892e-01 1.29494170904558892e-01 -2.63925204182530486e-03 0.00000000000000000e+00 0.00000000000000000e+00 1.32133422946384194e-01 1.02038124205428904e+00
0.10000000000000001 35 5.40895848739186488e-02 5.40895848739186280e-02 5.47044428793247550e-01 2.08166817117216851e-17 3.84855638294226197e-16 4.92954843919328922e-01 9.11367401078032380e+00
